play,qtr,coarse_snap,true_snap,true_snap_v2,diff_from_v1,frame_file,error_s,method,justification,v2_justification
5,1,89.0,91.05,91.05,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),2.05,chip-clear,"PRE-PLAY/SUBS chip crop stddev collapses to <8 and stays low from idx37 (t=+2.1) through end of window (idx40); midpoint between last high frame (idx36, t=+2.0, std 11.96) and first sustained-low frame taken as snap.","PRE-PLAY/SUBS chip crop stddev collapses to <8 and stays low from idx37 (t=+2.1) through end of window (idx40); midpoint between last high frame (idx36, t=+2.0, std 11.96) and first sustained-low frame taken as snap."
12,1,262.0,262.7,262.7,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),0.7,visual-prompt,"On-screen SNAP prompt (idx19-22, t=+0.3..+0.6) switches to HIKE prompt at idx23 (t=+0.7) with simultaneous o-line hand/stance change; snap taken at prompt transition.","On-screen SNAP prompt (idx19-22, t=+0.3..+0.6) switches to HIKE prompt at idx23 (t=+0.7) with simultaneous o-line hand/stance change; snap taken at prompt transition."
15,1,318.0,318.45,318.45,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),0.45,visual-motion,"Fixed PRE-PLAY/SUBS chip left frame during an unrelated broadcast pan/zoom (crop stddev misleading, not usable here). Full-frame view: formation static through idx19-20 (t=+0.3/+0.4), o-line clearly fired off and WR routes started by idx21-22 (t=+0.5/+0.6); snap taken at midpoint idx20/21.","Fixed PRE-PLAY/SUBS chip left frame during an unrelated broadcast pan/zoom (crop stddev misleading, not usable here). Full-frame view: formation static through idx19-20 (t=+0.3/+0.4), o-line clearly fired off and WR routes started by idx21-22 (t=+0.5/+0.6); snap taken at midpoint idx20/21."
25,1,512.0,513.95,513.95,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),1.95,chip-clear,"Chip crop stddev collapses to <10 and stays low from idx36 (t=+2.0); midpoint with last high frame (idx35, t=+1.9) taken as snap.","Chip crop stddev collapses to <10 and stays low from idx36 (t=+2.0); midpoint with last high frame (idx35, t=+1.9) taken as snap."
33,1,702.0,702.35,702.35,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),0.35,chip-clear,"Chip crop stddev collapses to <10 and stays low from idx20 (t=+0.4); midpoint with last high frame (idx19, t=+0.3) taken as snap.","Chip crop stddev collapses to <10 and stays low from idx20 (t=+0.4); midpoint with last high frame (idx19, t=+0.3) taken as snap."
40,2,847.0,848.45,848.6,0.15,"p40/f_022.jpg (idx21, t=+0.6 from 848.0 window base)",1.45,chip-clear,"CALIBRATION PLAY. Chip crop stddev collapses to <8 (2-6 range) and stays low idx31-37 (t=+1.5..+2.1), reappearing (next-play chip) at idx38; midpoint between last high frame (idx30, t=+1.4, std 17.5) and first sustained-low frame (idx31/32) taken as snap. Prior plan-doc estimate (848.0-848.1) was a looser eyeball read; this 0.1s-frame measurement is the authority.","Re-verified at 10fps against definition 'first frame ball leaves center's hands or O-line moves'. idx19(848.4)/idx20(848.5) still static presnap (HIKE prompt showing). idx21(848.6) shows visible motion blur on C(72)/LG(69) stance -- first frame of O-line movement. idx22(848.7) shows full-line drive block, unambiguous post-snap. Revises truth.csv's chip-clear read (848.45) later by 0.15s; revises the original loose eyeball estimate (848.0-848.1) later by 0.5-0.6s, confirming the task's flagged discrepancy."
48,2,1016.0,1016.4,1016.4,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),0.4,visual-motion,"Chip crop signal noisy on this camera angle (never clean uniform read, min std ~11 mid-window). Full-frame view: formation static through idx16 (t=+0.0), game clock ticks 3:05->3:04 between idx19 and idx21, o-line clearly engaged/moving by idx21-22 (t=+0.5/+0.6); snap taken at clock-tick/motion-onset midpoint idx20 (t=+0.4).","Chip crop signal noisy on this camera angle (never clean uniform read, min std ~11 mid-window). Full-frame view: formation static through idx16 (t=+0.0), game clock ticks 3:05->3:04 between idx19 and idx21, o-line clearly engaged/moving by idx21-22 (t=+0.5/+0.6); snap taken at clock-tick/motion-onset midpoint idx20 (t=+0.4)."
55,2,1252.0,1252.35,1252.35,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),0.35,visual-motion,Chip crop shows SNAP->HIKE prompt transition idx14-19 (t=-0.2..+0.3) but formation still set through idx19; at idx20 (t=+0.4) RB already has the ball and handoff motion is underway (post-snap). Snap taken at midpoint idx19/20 (t=+0.35).,Chip crop shows SNAP->HIKE prompt transition idx14-19 (t=-0.2..+0.3) but formation still set through idx19; at idx20 (t=+0.4) RB already has the ball and handoff motion is underway (post-snap). Snap taken at midpoint idx19/20 (t=+0.35).
63,2,1392.0,1393.15,1393.15,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),1.15,chip-clear,"Chip crop stddev collapses to <10 and stays low from idx29 (t=+1.3); midpoint with last high frame (idx28, t=+1.2) taken as snap.","Chip crop stddev collapses to <10 and stays low from idx29 (t=+1.3); midpoint with last high frame (idx28, t=+1.2) taken as snap."
71,3,1561.0,1561.95,1561.95,0.0,(carried from truth.csv; method/justification column already records the decided frame index under the same definition -- ball-release/O-line-motion -- consistent with A2-A4 chip-clear and visual-motion methods),0.95,chip-clear,"Chip crop stddev drops to ~2.9-3.0 for 3 consecutive frames idx26-28 (t=+1.0..+1.2), narrower than the 0.5s sustain target because the broadcast cuts away immediately after (chip absent, not re-visible); midpoint with last high frame (idx25, t=+0.9) taken as snap.","Chip crop stddev drops to ~2.9-3.0 for 3 consecutive frames idx26-28 (t=+1.0..+1.2), narrower than the 0.5s sustain target because the broadcast cuts away immediately after (chip absent, not re-visible); midpoint with last high frame (idx25, t=+0.9) taken as snap."
